u,rho,D,k_s,mu,Re,relative_roughness,Cf
0.0012445501993340225,200.0,8.655841438063689,8.196089875906316e-06,0.001,2154.525837429171,9.468853992477685e-07,0.4100023108625485
0.07830700405483995,200.0,1.988889945630095,1.4683274381750754e-05,0.001,31148.802607417252,7.3826480012190844e-06,0.2843489494243654
0.00400534774641378,200.0,1.584868520406503,0.002720828824967191,0.001,1269.5899113144658,0.001716753654914747,0.45479526285456057
0.0006764236217387433,200.0,8.218686458823822,0.06145168632028927,0.001,1111.862732082555,0.007477069070363786,0.4831504846495637
0.03189646766843703,200.0,4.503228369183641,1.0549547445765833e-07,0.001,28727.415616250888,2.3426632142305248e-08,0.28682914503875584
0.0015552619956734396,200.0,8.1800191006539,0.0014611437342814005,0.001,2544.4145662259675,0.00017862351130263238,0.4001113646455399
0.023793298280235284,200.0,7.5637167842310316,1.7519402639007968e-07,0.001,35993.15391088619,2.3162425483107358e-08,0.2794352568812281
0.0014644053160235634,200.0,3.418162237882219,6.545025087973438e-05,0.001,1001.1149904371442,1.9147789462528612e-05,0.4684289298567599
0.01133875513177802,200.0,5.171531507605251,0.006067184289041768,0.001,11727.745884202152,0.00117318907950563,0.3359633967625686
0.009842694388776496,200.0,5.370539229047098,1.75562324941611e-07,0.001,10572.115266889185,3.2689887822076535e-08,0.3247562663835244
0.025342344112195155,200.0,8.086576410758896,5.490025566625464e-07,0.001,40986.56041820239,6.789060398070541e-08,0.2753425070073342
0.03809132255403437,200.0,3.5573219295138405,1.9696540212343763e-07,0.001,27100.61940913032,5.536901242737842e-08,0.28880381704781966
0.0011814578500284065,200.0,5.6358023634128624,8.812770907111612e-05,0.001,1331.6925886925544,1.5637118441773885e-05,0.4449341566534738
0.0034046033486998303,200.0,1.9612493922830505,0.008508672397217466,0.001,1335.455249720476,0.004338393898652885,0.46018638806864076
0.1385781204224844,200.0,3.4988113488196553,3.408016499406726e-05,0.001,96971.74008645705,9.740498013865312e-06,0.25155223211081984
0.0009422885114303318,200.0,8.705212930271758,0.02722128030771223,0.001,1640.5644267499704,0.0031270091295587,0.44175730274873115
0.06021256082406123,200.0,4.978510252239526,0.0060776883978235635,0.001,59953.770275236966,0.0012207845499744797,0.30151658191027975
0.001987820677073749,200.0,7.662887518024527,1.267555384041162e-06,0.001,3046.489250883899,1.65414849305779e-07,0.38797432919955216
0.12258427494318663,200.0,2.0027068664912298,0.14934921443409427,0.001,49100.073830513735,0.07457367672372152,0.5907514440070786
0.029338633598532202,200.0,6.463497561313924,0.6631428879529084,0.001,37926.037343279124,0.10259814932429591,0.6432997955729156
0.06399787274600283,200.0,2.478932532298644,0.0075794586593707315,0.001,31729.281749595033,0.003057549392981064,0.3379304483199375
0.02057012528886488,200.0,7.575043656563642,0.2098874407565079,0.001,31163.91941682705,0.027707753284648615,0.4734330187062635
0.0013537477394894202,200.0,5.114034994850026,8.733838533872144e-06,0.001,1384.6226627896021,1.7078175144807105e-06,0.44184697603041106
0.0074053584754859274,200.0,6.574203546201206,8.85551838864898e-05,0.001,9736.86679008615,1.3470100714733716e-05,0.3284910273742978
0.004213105001411404,200.0,2.292845013808162,7.560651339233149e-05,0.001,1931.9993590272734,3.297497778393553e-05,0.4175862481269372
0.003780611060262623,200.0,7.969480927650714,0.0018565175557812312,0.001,6025.901547925664,0.0002329533846225673,0.35285278256761926
0.011867553645898957,200.0,3.757064623359258,1.3433006081050012e-06,0.001,8917.433193765031,3.575399261841635e-07,0.332204301859167
0.036266998463155904,200.0,7.452627575161262,2.1676966659109388e-07,0.001,54056.88656296937,2.9086340945515895e-08,0.26699558003570284
0.08579662706635137,200.0,2.6511491544038686,9.709305155359298e-08,0.001,45491.931059532304,3.6623006062224025e-08,0.27213809336212746
0.010359737100505115,200.0,5.207668656793482,2.1592081489447795e-05,0.001,10790.015638184213,4.146208776412954e-06,0.3239435026250745
0.0025744077951512226,200.0,9.131732968412432,0.0008934129508449482,0.001,4701.760907424075,9.78360793001013e-05,0.3641951036147587
0.002199270453416457,200.0,9.446134475190513,0.0003431512023610007,0.001,4154.920890057013,3.632715617825035e-05,0.37036596476341127
0.05192228128583354,200.0,6.405642119660994,0.0011621526709442356,0.001,66519.11039068422,0.00018142641272093736,0.2694501186343095
0.09492408415683769,200.0,2.0229905874621084,0.015545971643372288,0.001,38406.10575454874,0.007684648529618268,0.3787457676416386
0.004945481106290593,200.0,6.81310177198265,4.376623450127865e-07,0.001,6738.813217715031,6.423833954933339e-08,0.3451958116847367
0.015273819352937559,200.0,7.389087332890728,0.02454966990838559,0.001,22571.917021130434,0.003322422486348036,0.3455367469653348
0.04951001978821079,200.0,8.610645994210104,1.2335409653241358,0.001,85262.65071252405,0.14325765641202562,0.7085665518210037
0.004730693528945781,200.0,7.832893207361048,2.1944168875242063e-05,0.001,7411.003441797253,2.8015406688578097e-06,0.3407062085088264
0.005464943445270122,200.0,4.23692704090562,5.005196746704829e-07,0.001,4630.91333205698,1.1813271029644627e-07,0.3642146145995056
0.005761466286867305,200.0,7.604853141053103,0.1200495003991725,0.001,8763.020997750877,0.015785906469529577,0.4367566077933956
0.0014951507480505091,200.0,9.405380370108421,0.009060663396084724,0.001,2812.492299213436,0.0009633489598018539,0.3983623914701775
